2024-10-06 13:33:41,536 [INFO] !!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2024-10-06 13:33:54,253 [INFO] !!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2024-10-06 13:33:54,258 [DEBUG] Using selector: KqueueSelector
2024-10-06 13:33:54,270 [DEV] Watching /Users/dmitriykorovaev/voice-assistant
2024-10-06 13:33:54,749 [INFO] !!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2024-10-06 13:33:54,749 [DEBUG] Using selector: KqueueSelector
2024-10-06 13:33:54,752 [INFO] starting worker
2024-10-06 13:33:55,253 [INFO] registered worker
2024-10-06 13:34:08,989 [INFO] shutting down worker
2024-10-06 13:34:09,638 [DEBUG] Using selector: KqueueSelector
2024-10-06 13:34:09,643 [INFO] starting worker
2024-10-06 13:34:09,973 [INFO] registered worker
2024-10-06 13:34:25,168 [DEBUG] Using selector: KqueueSelector
2024-10-06 13:34:25,179 [DEV] Watching /Users/dmitriykorovaev/voice-assistant
2024-10-06 13:34:25,679 [DEBUG] Using selector: KqueueSelector
2024-10-06 13:34:25,683 [INFO] starting worker
2024-10-06 13:34:25,980 [INFO] registered worker
2024-10-06 13:35:21,594 [DEBUG] Using selector: KqueueSelector
2024-10-06 13:35:21,611 [DEV] Watching /Users/dmitriykorovaev/voice-assistant
2024-10-06 13:35:22,077 [DEBUG] Using selector: KqueueSelector
2024-10-06 13:35:22,087 [INFO] starting worker
2024-10-06 13:35:22,385 [INFO] registered worker
2024-10-06 13:35:54,481 [INFO] shutting down worker
2024-10-06 13:35:55,158 [DEBUG] Using selector: KqueueSelector
2024-10-06 13:35:55,162 [INFO] starting worker
2024-10-06 13:35:55,472 [INFO] registered worker
2024-10-06 13:36:04,755 [DEBUG] Using selector: KqueueSelector
2024-10-06 13:36:04,767 [DEV] Watching /Users/dmitriykorovaev/voice-assistant
2024-10-06 13:36:05,234 [DEBUG] Using selector: KqueueSelector
2024-10-06 13:36:05,241 [INFO] starting worker
2024-10-06 13:36:05,542 [INFO] registered worker
2024-10-06 13:36:20,060 [INFO] shutting down worker
2024-10-06 13:36:20,751 [DEBUG] Using selector: KqueueSelector
2024-10-06 13:36:20,756 [INFO] starting worker
2024-10-06 13:36:21,058 [INFO] registered worker
2024-10-06 13:36:25,174 [DEBUG] Using selector: KqueueSelector
2024-10-06 13:36:25,186 [DEV] Watching /Users/dmitriykorovaev/voice-assistant
2024-10-06 13:36:25,681 [DEBUG] Using selector: KqueueSelector
2024-10-06 13:36:25,689 [INFO] starting worker
2024-10-06 13:36:25,981 [INFO] registered worker
2024-10-06 13:36:40,764 [INFO] shutting down worker
2024-10-06 13:36:41,450 [INFO] !!!!!!!!!!!!!!!!!!!!
2024-10-06 13:36:41,450 [INFO] __mp_main__
2024-10-06 13:36:41,451 [DEBUG] Using selector: KqueueSelector
2024-10-06 13:36:41,457 [INFO] starting worker
2024-10-06 13:36:41,753 [INFO] registered worker
2024-10-06 13:37:11,946 [INFO] !!!!!!!!!!!!!!!!!!!!
2024-10-06 13:37:11,946 [INFO] __main__
2024-10-06 13:37:11,950 [DEBUG] Using selector: KqueueSelector
2024-10-06 13:37:11,962 [DEV] Watching /Users/dmitriykorovaev/voice-assistant
